x;new_x;absoluteError;relativeError;standart;converted
35,3000000000007;0,742480810512948;8,88178419700125E-16;1,31364441701214E-15;-0,676117835388262;-0,676117835388263
35,4000000000007;0,728315516281948;5,55111512312578E-16;7,43821499449319E-16;-0,746296675645366;-0,746296675645366
35,5000000000007;0,628315516281947;4,44089209850063E-16;5,48923249245771E-16;-0,809018766212303;-0,809018766212304
35,6000000000007;0,528315516281946;2,22044604925031E-16;2,57098014432577E-16;-0,863657408693296;-0,863657408693296
35,7000000000007;0,428315516281944;1,11022302462516E-16;1,22047235432628E-16;-0,909666671833809;-0,909666671833808
35,8000000000007;0,328315516281943;1,11022302462516E-16;1,17286969387136E-16;-0,94658684628518;-0,94658684628518
35,9000000000007;0,228315516281942;2,22044604925031E-16;2,2796039654321E-16;-0,974049037868481;-0,974049037868481
36,0000000000007;0,128315516281941;2,22044604925031E-16;2,2388519794927E-16;-0,991778853443203;-0,991778853443203
36,1000000000007;0,0283155162819346;1,11022302462516E-16;1,11066824426221E-16;-0,999599142552822;-0,999599142552822
36,2000000000007;0,0716844837180664;2,22044604925031E-16;2,22616335443077E-16;-0,997431767453599;-0,997431767453599
36,3000000000007;0,171684483718067;5,55111512312578E-16;5,63394319341652E-16;-0,985298383841086;-0,985298383841085
36,4000000000007;0,271684483718069;8,88178419700125E-16;9,21997065083407E-16;-0,963320224473576;-0,963320224473575
36,5000000000007;0,37168448371807;9,99200722162641E-16;1,07242954934904E-15;-0,931716887854455;-0,931716887854454
36,6000000000007;0,471684483718071;9,99200722162641E-16;1,12168396252631E-15;-0,890804144076548;-0,890804144076547
36,7000000000007;0,571684483718072;1,11022302462516E-15;1,32013697576198E-15;-0,840990779751729;-0,840990779751728
36,8000000000007;0,671684483718073;9,99200722162641E-16;1,27648601847144E-15;-0,782774513550221;-0,78277451355022
36,9000000000007;0,771684483718074;8,88178419700125E-16;1,23919707089226E-15;-0,716737023160172;-0,716737023160171
37,0000000000007;0,699111843076822;6,66133814775094E-16;1,03511164334703E-15;-0,643538133356466;-0,643538133356466
37,1000000000007;0,599111843076821;4,44089209850063E-16;7,8751896855113E-16;-0,563909223249687;-0,563909223249687
37,2000000000007;0,499111843076819;2,22044604925031E-16;4,63901594690605E-16;-0,478645918587804;-0,478645918587803
37,3000000000007;0,399111843076818;1,66533453693773E-16;4,28547073560973E-16;-0,388600142126695;-0,388600142126695
37,4000000000007;0,299111843076817;4,44089209850063E-16;1,5070648396048E-15;-0,294671601499585;-0,294671601499586
37,5000000000007;0,199111843076816;8,32667268468867E-16;4,20966795552925E-15;-0,197798799635773;-0,197798799635774
37,6000000000007;0,0991118430768152;1,17961196366423E-15;1,19213344732703E-14;-0,0989496575495896;-0,0989496575495907
37,7000000000007;0,000888156923191454;4,03615942751179E-15;4,54442210915187E-12;0,000888156806421029;0,000888156806425065
37,8000000000007;0,100888156923193;3,6498581934552E-15;3,62387151974925E-14;0,100717096993207;0,100717096993211
37,9000000000007;0,200888156923194;3,27515792264421E-15;1,64135650030824E-14;0,199539705239484;0,199539705239487
38,0000000000007;0,300888156923195;2,83106871279415E-15;9,55252653677482E-15;0,296368578710064;0,296368578710067
38,1000000000007;0,400888156923196;2,44249065417534E-15;6,25900527213676E-15;0,3902362353086;0,390236235308603
38,2000000000007;0,500888156923197;1,94289029309402E-15;4,0459619983756E-15;0,480204780438882;0,480204780438884
38,3000000000007;0,600888156923198;1,66533453693773E-15;2,94553830231746E-15;0,565375278137615;0,565375278137616
38,4000000000007;0,700888156923199;1,22124532708767E-15;1,8937067978464E-15;0,644896732945416;0,644896732945417
38,5000000000007;0,769908169871697;8,88178419700125E-16;1,23706107241318E-15;0,717974592772144;0,717974592772145
38,6000000000007;0,669908169871696;5,55111512312578E-16;7,08159975456691E-16;0,783878687798739;0,783878687798739
38,7000000000007;0,569908169871694;2,22044604925031E-16;2,63726428149516E-16;0,841950526092692;0,841950526092692
38,8000000000007;0,469908169871693;0;0;0,891609873041769;0,891609873041769
38,9000000000007;0,369908169871692;1,11022302462516E-16;1,19076576757237E-16;0,932360548866451;0,932360548866451
39,0000000000007;0,269908169871691;1,11022302462516E-16;1,15192813788557E-16;0,963795386284281;0,963795386284281
39,1000000000007;0,16990816987169;2,22044604925031E-16;2,25288694816205E-16;0,985600298790756;0,985600298790755
39,2000000000007;0,0699081698716891;1,11022302462516E-16;1,11294147442726E-16;0,997557418907856;0,997557418907856
39,3000000000007;0,0300918301283175;1,11022302462516E-16;1,11072587794952E-16;0,99954727504387;0,99954727504387
39,4000000000007;0,130091830128319;5,55111512312578E-16;5,5984218707113E-16;0,991549985214046;0,991549985214046
39,5000000000007;0,23009183012832;7,7715611723761E-16;7,9819210647167E-16;0,973645455694811;0,97364545569481
39,6000000000007;0,330091830128321;8,88178419700125E-16;9,38865334363773E-16;0,946012582626671;0,94601258262667
39,7000000000007;0,430091830128322;1,11022302462516E-15;1,22146493304967E-15;0,908927464543109;0,908927464543108
39,8000000000007;0,530091830128323;1,11022302462516E-15;1,28682622782005E-15;0,862760643685305;0,862760643685304
39,9000000000007;0,630091830128324;1,11022302462516E-15;1,37408362649935E-15;0,80797340366655;0,807973403666549
40,0000000000007;0,730091830128325;9,99200722162641E-16;1,34100533336506E-15;0,745113160478856;0,745113160478855
40,1000000000007;0,74070449666657;9,99200722162641E-16;1,48071856392579E-15;0,674807992893322;0,674807992893321
40,2000000000007;0,640704496666569;6,66133814775094E-16;1,11438270527115E-15;0,597760366904662;0,597760366904662
