x;absoluteError;relativeError
-38,9999999999998;1,16573417585641E-15;4,37189227382987E-15
-38,8999999999998;7,21644966006352E-16;1,99608700765755E-15
-38,7999999999998;4,44089209850063E-16;9,80752835914863E-16
-38,6999999999998;1,11022302462516E-16;2,05766524406311E-16
-38,5999999999998;1,11022302462516E-16;1,78804635415175E-16
-38,4999999999998;4,44089209850063E-16;6,37995675943285E-16
-38,3999999999998;6,66133814775094E-16;8,71595194673135E-16
-38,2999999999998;6,66133814775094E-16;8,07597622844451E-16
-38,1999999999998;7,7715611723761E-16;8,85994912368265E-16
-38,0999999999998;7,7715611723761E-16;8,44079128290902E-16
-37,9999999999998;6,66133814775094E-16;6,9746853441814E-16
-37,8999999999998;5,55111512312578E-16;5,66504055147861E-16
-37,7999999999998;3,33066907387547E-16;3,34769173447377E-16
-37,6999999999998;0;0
-37,5999999999998;3,33066907387547E-16;3,34709514221876E-16
-37,4999999999998;8,88178419700125E-16;9,06080171095325E-16
-37,3999999999998;3,33066907387547E-16;3,48542697890954E-16
-37,2999999999998;3,33066907387547E-16;3,61476621984795E-16
-37,1999999999998;2,22044604925031E-16;2,52895872999527E-16
-37,0999999999998;0;0
-36,9999999999998;1,11022302462516E-16;1,45048685976385E-16
-36,8999999999998;3,33066907387547E-16;4,77622404291914E-16
-36,7999999999998;7,7715611723761E-16;1,24883387963777E-15
-36,6999999999998;9,99200722162641E-16;1,84678261924264E-15
-36,5999999999998;1,4432899320127E-15;3,17634180806917E-15
-36,4999999999998;1,88737914186277E-15;5,19673725355595E-15
-36,3999999999998;2,27595720048157E-15;8,48115862697967E-15
-36,2999999999998;2,66453525910038E-15;1,55964600516058E-14
-36,1999999999998;3,05311331771918E-15;4,2627491319244E-14
-36,0999999999998;3,41393580072236E-15;1,20583781943855E-13
-35,9999999999998;3,71924713249427E-15;2,90648631914106E-14
-35,8999999999998;4,02455846426619E-15;1,77812603266845E-14
-35,7999999999998;9,99200722162641E-16;3,09878707953966E-15
-35,6999999999998;7,21644966006352E-16;1,73748392981531E-15
-35,5999999999998;3,33066907387547E-16;6,60743154685914E-16
-35,4999999999998;0;0
-35,3999999999998;2,22044604925031E-16;3,33593924740659E-16
-35,2999999999998;4,44089209850063E-16;6,02732251762719E-16
-35,1999999999998;6,66133814775094E-16;8,32031011796566E-16
-35,0999999999998;6,66133814775094E-16;7,77802472978207E-16
-34,9999999999998;6,66133814775094E-16;7,37124665922702E-16
-34,8999999999998;6,66133814775094E-16;7,07205144604012E-16
-34,7999999999998;5,55111512312578E-16;5,71840540771285E-16
-34,6999999999998;4,44089209850063E-16;4,48635335138095E-16
-34,5999999999998;1,11022302462516E-16;1,11122554335769E-16
-34,4999999999998;2,22044604925031E-16;2,22412424487711E-16
-34,3999999999998;5,55111512312578E-16;5,62070232182014E-16
-34,2999999999998;3,33066907387547E-16;3,44424379901367E-16
-34,1999999999998;4,44089209850063E-16;4,74065373936914E-16
-34,0999999999998;3,33066907387547E-16;3,71249515305822E-16
-33,9999999999998;1,11022302462516E-16;1,30834541064631E-16
-33,8999999999998;0;0
-33,7999999999998;2,22044604925031E-16;3,05618039229825E-16
-33,6999999999998;5,55111512312578E-16;8,48385057903652E-16
-33,5999999999998;7,7715611723761E-16;1,35028315790226E-15
-33,4999999999998;1,22124532708767E-15;2,48708546986929E-15
-33,3999999999998;1,60982338570648E-15;4,00839747734461E-15
-33,2999999999998;1,94289029309402E-15;6,30444351490101E-15
-33,1999999999998;2,35922392732846E-15;1,11460846438943E-14
-33,0999999999998;2,76167977375508E-15;2,44320687492131E-14
-32,9999999999998;3,13464532109009E-15;2,36100399328386E-13
-32,8999999999998;3,46944695195361E-15;4,00563303701862E-14
-32,7999999999998;3,77475828372553E-15;2,03337852734745E-14
-32,6999999999998;1,33226762955019E-15;4,71081557393181E-15
