x;absoluteError;relativeError
-40,3999999999999;1,72084568816899E-15;4,03408219660159E-15
-40,2999999999999;1,66533453693773E-15;3,2352919117508E-15
-40,1999999999999;1,66533453693773E-15;2,78595676317458E-15
-40,0999999999999;1,4432899320127E-15;2,13881570344629E-15
-39,9999999999999;1,33226762955019E-15;1,788007111152E-15
-39,8999999999999;1,11022302462516E-15;1,37408362649847E-15
-39,7999999999999;9,99200722162641E-16;1,15814360503744E-15
-39,6999999999999;7,7715611723761E-16;8,55025453134424E-16
-39,5999999999999;6,66133814775094E-16;7,04149000772616E-16
-39,4999999999999;4,44089209850063E-16;4,56109775126574E-16
-39,3999999999998;2,22044604925031E-16;2,23936874828426E-16
-39,2999999999998;0;0
-39,1999999999998;1,11022302462516E-16;1,11294147442732E-16
-39,0999999999998;2,22044604925031E-16;2,25288694816239E-16
-38,9999999999998;4,44089209850063E-16;4,60771255154341E-16
-38,8999999999998;4,44089209850063E-16;4,76306307029111E-16
-38,7999999999998;6,66133814775094E-16;7,47113546985348E-16
-38,6999999999998;7,7715611723761E-16;9,23042498523825E-16
-38,5999999999998;8,88178419700125E-16;1,1330559607315E-15
-38,4999999999998;9,99200722162641E-16;1,39169370646602E-15
-38,3999999999998;1,22124532708767E-15;1,89370679784838E-15
-38,2999999999998;1,22124532708767E-15;2,16006142170225E-15
-38,1999999999998;1,27675647831893E-15;2,65877502750825E-15
-38,0999999999998;1,33226762955019E-15;3,41400287571806E-15
-37,9999999999998;1,38777878078145E-15;4,68261104745195E-15
-37,8999999999998;1,4432899320127E-15;7,23309644206765E-15
-37,7999999999998;1,45716771982052E-15;1,44679281207981E-14
-37,6999999999998;1,46952762458685E-15;1,65458128048799E-12
-37,5999999999998;1,45716771982052E-15;1,47263543492038E-14
-37,4999999999998;1,4432899320127E-15;7,29675778955226E-15
-37,3999999999998;1,38777878078145E-15;4,70957762375157E-15
-37,2999999999998;1,38777878078145E-15;3,57122561300066E-15
-37,1999999999998;1,33226762955019E-15;2,78340956813914E-15
-37,0999999999998;1,22124532708767E-15;2,16567716351282E-15
-36,9999999999998;1,11022302462516E-15;1,72518607224325E-15
-36,8999999999998;1,11022302462516E-15;1,548996338614E-15
