x;y;computation time (milliseconds)
-99;-0,0102030299907245;0
-98;-0,0103081939623435;0
-97;-0,0104155481584881;0
-96;-0,0105251617147243;0
-95;-0,0106371067069757;0
-94;-0,0107514583095047;0
-93;-0,010868294963188;0
-92;-0,0109876985548788;0
-91;-0,0111097546087169;0
-90;-0,0112345524903258;0
-89;-0,0113621856249202;0
-88;-0,0114927517304427;0
-87;-0,0116263530669518;0
-86;-0,0117630967035973;0
-85;-0,0119030948046492;0
-84;-0,0120464649361824;0
-83;-0,0121933303951814;0
-82;-0,0123438205629986;0
-81;-0,0124980712852955;0
-80;-0,01265622528081;0
-79;-0,012818432581535;0
-78;-0,0129848510071583;0
-77;-0,0131556466769178;0
-76;-0,0133309945623575;0
-75;-0,0135110790848496;0
-74;-0,0136960947621692;0
-73;-0,0138862469088834;0
-72;-0,0140817523958537;0
-71;-0,0142828404747536;0
-70;-0,0144897536741875;0
-69;-0,0147027487747709;0
-68;-0,0149220978714066;0
-67;-0,0151480895319919;0
-66;-0,0153810300629224;0
-65;-0,0156212448930546;0
-64;-0,0158690800892636;0
-63;-0,0161249040184285;0
-62;-0,0163891091726143;0
-61;-0,0166621141764545;0
-60;-0,0169443659983056;0
-59;-0,0172363423897166;0
-58;-0,0175385545811914;0
-57;-0,0178515502662073;0
-56;-0,0181759169100941;0
-55;-0,0185122854257826;0
-54;-0,0188613342647572;0
-53;-0,0192237939789626;0
-52;-0,0196004523181304;0
-51;-0,0199921599372795;0
-50;-0,0203998368013056;0
-49;-0,0208244793880153;0
-48;-0,0212671688081524;0
-47;-0,0217290799815072;0
-46;-0,0222114920328344;0
-45;-0,0227158001009591;0
-44;-0,02324352879028;0
-43;-0,0237963475373547;0
-42;-0,024376088218224;0
-41;-0,0249847653869592;0
-40;-0,025624599615631;0
-39;-0,026298044504383;0
-38;-0,0270078180525942;0
-37;-0,0277569392348087;0
-36;-0,0285487708168121;0
-35;-0,0293870696893367;0
-34;-0,0302760463045414;0
-33;-0,0312204351939451;0
-32;-0,0322255790533736;0
-31;-0,033297529538131;0
-30;-0,034443168771527;0
-29;-0,035670356703567;0
-28;-0,0369881109643329;0
-27;-0,0384068278805121;0
-26;-0,0399385560675883;0
-25;-0,0415973377703827;0
-24;-0,0433996383363472;0
-23;-0,0453648915187377;0
-22;-0,0475161987041037;0
-21;-0,0498812351543943;0
-20;-0,05249343832021;0
-19;-0,0553935860058309;0
-18;-0,0586319218241042;0
-17;-0,0622710622710623;0
-16;-0,0663900414937759;0
-15;-0,0710900473933649;0
-14;-0,0765027322404372;0
-13;-0,0828025477707006;0
-12;-0,0902255639097744;0
-11;-0,0990990990990991;0
-10;-0,10989010989011;0
-9;-0,123287671232877;0
-8;-0,140350877192982;0
-7;-0,162790697674419;0
-6;-0,193548387096774;0
-5;-0,238095238095238;0
-4;-0,307692307692308;0
-3;-0,428571428571429;0
-2;-0,666666666666667;0
-1;-1;0
0;0;0
1;0,333333333333333;0
2;0,285714285714286;0
3;0,230769230769231;0
4;0,19047619047619;0
5;0,161290322580645;0
6;0,13953488372093;0
7;0,12280701754386;0
8;0,10958904109589;0
9;0,0989010989010989;0
10;0,0900900900900901;0
11;0,0827067669172932;0
12;0,0764331210191083;0
13;0,0710382513661202;0
14;0,0663507109004739;0
15;0,0622406639004149;0
16;0,0586080586080586;0
17;0,0553745928338762;0
18;0,0524781341107872;0
19;0,0498687664041995;0
20;0,0475059382422803;0
21;0,0453563714902808;0
22;0,0433925049309665;0
23;0,0415913200723327;0
24;0,0399334442595674;0
25;0,0384024577572965;0
26;0,0369843527738265;0
27;0,035667107001321;0
28;0,034440344403444;0
29;0,0332950631458094;0
30;0,0322234156820623;0
31;0,0312185297079557;0
32;0,0302743614001892;0
33;0,0293855743544078;0
34;0,0285474391267842;0
35;0,0277557494052339;0
36;0,027006751687922;0
37;0,0262970859985785;0
38;0,0256237356709373;0
39;0,0249839846252402;0
40;0,024375380865326;0
41;0,0237957051654092;0
42;0,0232429441062535;0
43;0,0227152667723191;0
44;0,02221100454316;0
45;0,0217286335103815;0
46;0,0212667591308368;0
47;0,0208241027913159;0
48;0,0203994900127497;0
49;0,0199918400652795;0
50;0,0196001568012544;0
51;0,0192235205427818;0
52;0,0188610808850199;0
53;0,0185120502968914;0
54;0,0181756984180411;0
55;0,017851346965271;0
56;0,0175383651738177;0
57;0,0172361657091019;0
58;0,0169442009932807;0
59;0,01
