x;y;computation time (milliseconds)
-99;-0,0100999795960008;0
-98;-0,0102030192608017;0
-97;-0,0103081827842721;0
-96;-0,0104155365086254;0
-95;-0,0105251495679149;0
-94;-0,0106370940364377;0
-93;-0,0107514450867052;0
-92;-0,0108682811577082;0
-91;-0,0109876841342671;0
-90;-0,0111097395383286;0
-89;-0,0112345367331482;0
-88;-0,0113621691413815;0
-87;-0,0114927344782034;0
-86;-0,011626335000676;0
-85;-0,0117630777747025;0
-84;-0,0119030749610316;0
-83;-0,0120464441219158;0
-82;-0,0121933085501859;0
-81;-0,012343797622676;0
-80;-0,0124980471801281;0
-79;-0,012656199935918;0
-78;-0,0128184059161873;0
-77;-0,0129848229342327;0
-76;-0,0131556171023022;0
-75;-0,0133309633842872;0
-74;-0,0135110461931714;0
-73;-0,0136960600375235;0
-72;-0,0138862102217936;0
-71;-0,014081713605712;0
-70;-0,014282799428688;0
-69;-0,0144897102057959;0
-68;-0,0147027027027027;0
-67;-0,0149220489977728;0
-66;-0,0151480376405784;0
-65;-0,0153809749171794;0
-64;-0,0156211862338296;0
-63;-0,0158690176322418;0
-62;-0,0161248374512354;0
-61;-0,0163890381515314;0
-60;-0,0166620383226881;0
-59;-0,0169442848937392;0
-58;-0,0172362555720654;0
-57;-0,0175384615384615;0
-56;-0,0178514504303475;0
-55;-0,0181758096497026;0
-54;-0,01851217003771;0
-53;-0,0188612099644128;0
-52;-0,0192236598890943;0
-51;-0,0196003074558032;0
-50;-0,0199920031987205;0
-49;-0,0203996669442132;0
-48;-0,020824295010846;0
-47;-0,0212669683257919;0
-46;-0,021728861596599;0
-45;-0,0222112537018756;0
-44;-0,022715539494063;0
-43;-0,0232432432432432;0
-42;-0,0237960339943343;0
-41;-0,0243757431629013;0
-40;-0,0249843847595253;0
-39;-0,0256241787122208;0
-38;-0,0262975778546713;0
-37;-0,027007299270073;0
-36;-0,0277563608326908;0
-35;-0,0285481239804241;0
-34;-0,0293863439930856;0
-33;-0,0302752293577982;0
-32;-0,031219512195122;0
-31;-0,0322245322245322;0
-30;-0,0332963374028857;0
-29;-0,0344418052256532;0
-28;-0,0356687898089172;0
-27;-0,036986301369863;0
-26;-0,0384047267355982;0
-25;-0,0399361022364217;0
-24;-0,0415944540727903;0
-23;-0,0433962264150943;0
-22;-0,045360824742268;0
-21;-0,0475113122171946;0
-20;-0,0498753117206983;0
-19;-0,0524861878453039;0
-18;-0,0553846153846154;0
-17;-0,0586206896551724;0
-16;-0,0622568093385214;0
-15;-0,0663716814159292;0
-14;-0,0710659898477157;0
-13;-0,0764705882352941;0
-12;-0,0827586206896552;0
-11;-0,0901639344262295;0
-10;-0,099009900990099;0
-9;-0,109756097560976;0
-8;-0,123076923076923;0
-7;-0,14;0
-6;-0,162162162162162;0
-5;-0,192307692307692;0
-4;-0,235294117647059;0
-3;-0,3;0
-2;-0,4;0
-1;-0,5;0
0;0;0
1;0,5;0
2;0,4;0
3;0,3;0
4;0,235294117647059;0
5;0,192307692307692;0
6;0,162162162162162;0
7;0,14;0
8;0,123076923076923;0
9;0,109756097560976;0
10;0,099009900990099;0
11;0,0901639344262295;0
12;0,0827586206896552;0
13;0,0764705882352941;0
14;0,0710659898477157;0
15;0,0663716814159292;0
16;0,0622568093385214;0
17;0,0586206896551724;0
18;0,0553846153846154;0
19;0,0524861878453039;0
20;0,0498753117206983;0
21;0,0475113122171946;0
22;0,045360824742268;0
23;0,0433962264150943;0
24;0,0415944540727903;0
25;0,0399361022364217;0
26;0,0384047267355982;0
27;0,036986301369863;0
28;0,0356687898089172;0
29;0,0344418052256532;0
30;0,0332963374028857;0
31;0,0322245322245322;0
32;0,031219512195122;0
33;0,0302752293577982;0
34;0,0293863439930856;0
35;0,0285481239804241;0
36;0,0277563608326908;0
37;0,027007299270073;0
38;0,0262975778546713;0
39;0,0256241787122208;0
40;0,0249843847595253;0
41;0,0243757431629013;0
42;0,0237960339943343;0
43;0,0232432432432432;0
44;0,022715539494063;0
45;0,0222112537018756;0
46;0,021728861596599;0
47;0,0212669683257919;0
48;0,020824295010846;0
49;0,0203996669442132;0
50;0,0199920031987205;0
51;0,0196003074558032;0
52;0,0192236598890943;0
53;0,0188612099644128;0
54;0,01851217003771;0
55;0,0181758096497026;0
56;0,0178514504303475;0
57;0,0175384615384615;0
58;0,0172362555720654;0
59;0,0169442848937392;0
60;0,0166620383226881;0
61;0,0163890381515314;0
62;0,0161248374512354;0
