x;absoluteError;relativeError;time
-0,99;1,54713328854547;0,154713328854547;0
-0,98;0,308501264725503;0,0436286672584058;0
-0,97;0,0764052174680332;0,0132337718617983;0
-0,96;0,0206503325442791;0,00413006650885581;0
-0,95;0,00583518862979737;0,00130478784377608;0
-0,94;0,00168999593785202;0,000413962771511376;0
-0,93;0,000496207617980193;0,000131284195583133;0
-0,92;0,000146708160071896;4,14953339368955E-05;0
-0,91;4,34808651745833E-05;1,3044259552375E-05;0
-0,9;1,28766636180444E-05;4,07195856968448E-06;0
-0,89;3,8012949010735E-06;1,2607468904352E-06;0
-0,88;1,11654350298807E-06;3,86782015207252E-07;0
-0,87;3,25825683766823E-07;1,17478120968439E-07;0
-0,86;9,43452382884402E-08;3,5300755774889E-08;0
-0,85;2,70780660116543E-08;1,04872898710642E-08;0
-0,84;7,69614860729462E-09;3,07845944291785E-09;0
-0,83;2,16433537758576E-09;8,92378337104716E-10;0
-0,82;6,0178351191098E-10;2,55315121247106E-10;0
-0,81;1,65314428812735E-10;7,20588889103861E-11;0
-0,8;4,48396875185608E-11;2,00529178762702E-11;0
-0,79;1,20010668069881E-11;5,49957970632449E-12;0
-0,78;3,16635606623095E-12;1,48515263942621E-12;0
-0,77;8,22453216642316E-13;3,94434706282316E-13;0
-0,76;2,1227464230833E-13;1,03992911797444E-13;0
-0,75;5,32907051820075E-14;2,66453525910038E-14;0
-0,74;1,35447209004269E-14;6,90647961774449E-15;0
-0,73;3,77475828372553E-15;1,96142194011124E-15;0
-0,72;1,33226762955019E-15;7,04969765514265E-16;0
-0,71;2,22044604925031E-16;1,19574679205636E-16;0
-0,7;4,44089209850063E-16;2,43237677779525E-16;0
-0,69;6,66133814775094E-16;3,70887611478078E-16;0
-0,68;8,88178419700125E-16;5,02429586778808E-16;0
-0,67;2,22044604925031E-16;1,27554914331763E-16;0
-0,66;6,66133814775094E-16;3,88419422948336E-16;0
-0,65;1,11022302462516E-15;6,5681679907166E-16;0
-0,64;0;0;0
-0,63;0;0;0
-0,62;1,33226762955019E-15;8,21264923130146E-16;0
-0,61;6,66133814775094E-16;4,16000433993595E-16;0
-0,6;0;0;0
-0,59;1,11022302462516E-15;7,10889595793335E-16;0
-0,58;2,22044604925031E-16;1,43901350799954E-16;0
-0,57;2,22044604925031E-16;1,45604384644882E-16;0
-0,56;2,22044604925031E-16;1,47287728251806E-16;0
-0,55;0;0;0
-0,54;0;0;0
-0,53;2,22044604925031E-16;1,52226111724852E-16;0
-0,52;6,66133814775094E-16;4,61511044732055E-16;0
-0,51;2,22044604925031E-16;1,55431223447522E-16;0
-0,5;0;0;0
-0,49;2,22044604925031E-16;1,58571565401618E-16;0
-0,48;4,44089209850063E-16;3,20237283398938E-16;0
-0,47;6,66133814775094E-16;4,84952737252832E-16;0
-0,46;2,22044604925031E-16;1,63168794661262E-16;0
-0,45;4,44089209850063E-16;3,29345372622554E-16;0
-0,44;6,66133814775094E-16;4,98488901726627E-16;0
-0,43;2,22044604925031E-16;1,67640000442909E-16;0
-0,42;0;0;0
-0,41;2,22044604925031E-16;1,70555697295707E-16;0
-0,4;2,22044604925031E-16;1,7199501139797E-16;0
-0,39;0;0;0
-0,38;2,22044604925031E-16;1,74838096756154E-16;0
-0,37;6,66133814775094E-16;5,28727324135699E-16;0
-0,36;2,22044604925031E-16;1,77635683940025E-16;0
-0,35;4,44089209850063E-16;3,58036167304945E-16;0
-0,34;1,55431223447522E-15;1,26272922856722E-15;0
-0,33;6,66133814775094E-16;5,45254026720728E-16;0
-0,32;0;0;0
-0,31;6,66133814775094E-16;5,53332304170744E-16;0
-0,3;2,22044604925031E-16;1,85775845048325E-16;0
-0,29;4,44089209850063E-16;3,74196219484817E-16;0
-0,28;8,88178419700125E-16;7,53644380168212E-16;0
-0,27;2,22044604925031E-16;1,89714993610702E-16;0
-0,26;4,44089209850063E-16;3,82019983071419E-16;0
-0,25;0;0;0
-0,24;2,22044604925031E-16;1,93573998765325E-16;0
-0,23;4,44089209850063E-16;3,89686700125941E-16;0
-0,22;4,44089209850063E-16;3,92208970471224E-16;0
-0,21;4,44089209850063E-16;3,94715123577942E-16;0
-0,2;0;0;0
-0,19;4,44089209850063E-16;3,99680288865056E-16;0
-0,18;2,22044604925031E-16;2,01069941544172E-16;0
-0,17;2,22044604925031E-16;2,02292262477683E-16;0
