x;absoluteError;relativeError;time
0,43;1,77635683940025E-15;1,87512245730659E-16;0
0,44;1,77635683940025E-15;1,74695742316544E-16;0
0,45;0;0;0
0,46;7,105427357601E-15;6,04178467256134E-16;0
0,47;1,77635683940025E-15;1,40163098905077E-16;0
0,48;1,77635683940025E-15;1,29880390886683E-16;0
0,49;1,77635683940025E-15;1,20174110662674E-16;0
0,5;3,5527136788005E-15;2,22044604925031E-16;0
0,51;3,5527136788005E-15;2,04806873682628E-16;0
0,52;3,5527136788005E-15;1,88592821359634E-16;0
0,53;0;0;0
0,54;1,06581410364015E-14;4,77213575322821E-16;0
0,55;1,4210854715202E-14;5,82733861165252E-16;0
0,56;1,4210854715202E-14;5,32636477146297E-16;0
0,57;3,5527136788005E-15;1,21460210777968E-16;0
0,58;1,4210854715202E-14;4,42198597738752E-16;0
0,59;7,105427357601E-15;2,00782395154419E-16;0
0,6;0;0;0
0,61;2,1316282072803E-14;4,93139609147874E-16;0
0,62;7,105427357601E-15;1,48157823787187E-16;0
0,63;0;0;0
0,64;3,5527136788005E-14;5,96719473833217E-16;0
0,65;1,56319401867222E-13;2,34576802427E-15;0
0,66;7,24753590475302E-13;9,68514314081402E-15;0
0,67;3,36797256750287E-12;3,99414939522558E-14;0
0,68;1,49782408698229E-11;1,57058238983154E-13;0
0,69;6,59099441691069E-11;6,08692175489978E-13;0
0,7;2,8386182293616E-10;2,2992807657829E-12;0
0,71;1,19999299386109E-09;8,48732244691064E-12;0
0,72;4,98232566314982E-09;3,06241636280902E-11;0
0,73;2,03248191610328E-08;1,08014422197584E-10;0
0,74;8,15258829334198E-08;3,72553718793824E-10;0
0,75;3,21743073072867E-07;1,25680887919088E-09;0
0,76;1,25010967622075E-06;4,14756387937814E-09;0
0,77;4,78513373991518E-06;1,3390766109116E-08;0
0,78;1,80565103846675E-05;4,22984589667067E-08;0
0,79;6,72142084567895E-05;1,30718864748849E-07;0
0,8;0,000246990611799447;3,95184978879115E-07;0
0,81;0,000896626784538057;1,16849299187784E-06;0
0,82;0,00321806991973972;3,37820107894596E-06;0
0,83;0,0114287937574318;9,54544283414458E-06;0
0,84;0,0402006164192699;2,63458759765326E-05;0
0,85;0,140200369217609;7,09764369164146E-05;0
0,86;0,48537197869382;0,000186460499335017;0
0,87;1,67042735871337;0,000477090757922124;0
0,88;5,72473835142046;0,00118708174455054;0
0,89;19,5789895001726;0,00286655985272026;0
0,9;67,0085068603021;0,00670085068603017;0
0,91;230,342364104108;0,0151127625088704;0
0,92;799,367024929074;0,032742073341095;0
0,93;2821,59461462708;0,0677464866971964;0
0,94;10248,1279146834;0,132815737774297;0
0,95;39044,3321740973;0,244027076088109;0
0,96;161629,960732311;0,413772699474718;0
0,97;782225,743040983;0,633602851863199;0
0,98;5322712,94105139;0,851634070568225;0
0,99;98039359,3673894;0,980393593673898;0
