"                      Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,3854;2|3 ;   -1,072 ;   -1,072;        0;        0
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,3792;2|3 ;    -1,07 ;    -1,07;        0;        0
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,3729;2|3 ;   -1,068 ;   -1,068; 2,22E-16;2,079E-16
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,3666;2|3 ;   -1,066 ;   -1,066;4,441E-16;4,167E-16
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,3603;2|3 ;   -1,063 ;   -1,063; 2,22E-16;2,088E-16
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000; -1,354;2|3 ;   -1,061 ;   -1,061; 2,22E-16;2,093E-16
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,3477;2|3 ;   -1,059 ;   -1,059; 2,22E-16;2,097E-16
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,3415;2|3 ;   -1,056 ;   -1,056;        0;        0
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,3352;2|3 ;   -1,054 ;   -1,054;4,441E-16;4,214E-16
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,3289;2|3 ;   -1,051 ;   -1,051;        0;        0
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,3226;2|3 ;   -1,049 ;   -1,049; 2,22E-16;2,117E-16
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,3163;2|3 ;   -1,046 ;   -1,046;        0;        0
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;  -1,31;2|3 ;   -1,044 ;   -1,044;        0;        0
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,3038;2|3 ;   -1,041 ;   -1,041;        0;        0
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,2975;2|3 ;   -1,038 ;   -1,038; 2,22E-16;2,138E-16
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,2912;2|3 ;   -1,036 ;   -1,036;        0;        0
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,2849;2|3 ;   -1,033 ;   -1,033; 2,22E-16;2,149E-16
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,2786;2|3 ;    -1,03 ;    -1,03; 2,22E-16;2,155E-16
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,2723;2|3 ;   -1,028 ;   -1,028;        0;        0
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,2661;2|3 ;   -1,025 ;   -1,025; 2,22E-16;2,167E-16
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,2598;2|3 ;   -1,022 ;   -1,022;        0;        0
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,2535;2|3 ;   -1,019 ;   -1,019;        0;        0
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,2472;2|3 ;   -1,016 ;   -1,016; 2,22E-16;2,185E-16
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,2409;2|3 ;   -1,013 ;   -1,013;        0;        0
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,2346;2|3 ;    -1,01 ;    -1,01;        0;        0
"Sin_1(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\OpaqueFunctions.cs)"; 1000;-1,2284;2|3 ;   -1,007 ;   -1,007;        0;        0
