"                      Function";"    N";"   Args";"";"      Val";"    Ideal";"      Abs";"      Rel"
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 5899,1;2|3 ;    8,685 ;    8,683; 0,002685;0,0003093
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 6099,1;2|3 ;    8,719 ;    8,716; 0,003073;0,0003526
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 6299,1;2|3 ;    8,752 ;    8,748; 0,003495;0,0003995
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 6499,1;2|3 ;    8,784 ;     8,78; 0,003952;0,0004501
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 6699,1;2|3 ;    8,814 ;     8,81; 0,004444;0,0005044
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 6899,1;2|3 ;    8,844 ;    8,839; 0,004972;0,0005625
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 7099,1;2|3 ;    8,873 ;    8,868; 0,005537;0,0006244
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 7299,1;2|3 ;    8,902 ;    8,896;  0,00614;0,0006902
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 7499,1;2|3 ;    8,929 ;    8,923; 0,006781;0,0007599
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 7699,1;2|3 ;    8,956 ;    8,949;  0,00746;0,0008336
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 7899,1;2|3 ;    8,983 ;    8,975; 0,008178;0,0009112
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 8099,1;2|3 ;    9,009 ;        9; 0,008935;0,0009928
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 8299,1;2|3 ;    9,034 ;    9,024; 0,009732; 0,001078
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 8499,1;2|3 ;    9,058 ;    9,048;  0,01057; 0,001168
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 8699,1;2|3 ;    9,083 ;    9,071;  0,01144; 0,001262
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 8899,1;2|3 ;    9,106 ;    9,094;  0,01236; 0,001359
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 9099,1;2|3 ;    9,129 ;    9,116;  0,01332; 0,001461
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 9299,1;2|3 ;    9,152 ;    9,138;  0,01432; 0,001567
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 9499,1;2|3 ;    9,174 ;    9,159;  0,01536; 0,001677
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 9699,1;2|3 ;    9,196 ;     9,18;  0,01643;  0,00179
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000; 9899,1;2|3 ;    9,218 ;      9,2;  0,01755; 0,001908
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  10099;2|3 ;    9,239 ;     9,22;  0,01872;  0,00203
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  10299;2|3 ;     9,26 ;     9,24;  0,01992; 0,002155
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  10499;2|3 ;     9,28 ;    9,259;  0,02116; 0,002285
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  10699;2|3 ;      9,3 ;    9,278;  0,02244; 0,002419
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  10899;2|3 ;     9,32 ;    9,297;  0,02376; 0,002556
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  11099;2|3 ;     9,34 ;    9,315;  0,02513; 0,002697
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  11299;2|3 ;    9,359 ;    9,333;  0,02653; 0,002843
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  11499;2|3 ;    9,378 ;     9,35;  0,02797; 0,002992
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  11699;2|3 ;    9,397 ;    9,367;  0,02946; 0,003145
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  11899;2|3 ;    9,415 ;    9,384;  0,03098; 0,003301
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  12099;2|3 ;    9,434 ;    9,401;  0,03254; 0,003462
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  12299;2|3 ;    9,452 ;    9,417;  0,03414; 0,003626
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  12499;2|3 ;    9,469 ;    9,433;  0,03579; 0,003793
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  12699;2|3 ;    9,487 ;    9,449;  0,03747; 0,003965
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  12899;2|3 ;    9,504 ;    9,465;  0,03918;  0,00414
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  13099;2|3 ;    9,521 ;     9,48;  0,04094; 0,004319
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  13299;2|3 ;    9,538 ;    9,496;  0,04274; 0,004501
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  13499;2|3 ;    9,555 ;     9,51;  0,04457; 0,004687
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  13699;2|3 ;    9,572 ;    9,525;  0,04644; 0,004876
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  13899;2|3 ;    9,588 ;     9,54;  0,04835; 0,005069
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  14099;2|3 ;    9,604 ;    9,554;   0,0503; 0,005265
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  14299;2|3 ;     9,62 ;    9,568;  0,05228; 0,005464
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  14499;2|3 ;    9,636 ;    9,582;   0,0543; 0,005667
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  14699;2|3 ;    9,652 ;    9,596;  0,05636; 0,005874
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  14899;2|3 ;    9,668 ;    9,609;  0,05845; 0,006083
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  15099;2|3 ;    9,683 ;    9,622;  0,06058; 0,006296
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  15299;2|3 ;    9,698 ;    9,636;  0,06275; 0,006512
"Math_6_2_ln(C:\git_reps\summer_practice\opaque-func-lib\Muradyan\TestingSystem\TestingSystem\Tests\Kirillova.cs)"; 1000;  15499;2|3 ;    9,714 ;    9,649;  0,06495; 0,006731
