x;absoluteError;relativeError
-10;0;не число
-9,8;0;не число
-9,6;0;не число
-9,4;1,49011611938477E-08;1
-9,2;0;не число
-9;0;не число
-8,8;0;не число
-8,6;1,86264514923096E-09;1
-8,4;0;не число
-8,2;0;не число
-8;0;не число
-7,8;0;не число
-7,6;0;не число
-7,4;0;не число
-7,2;1,16415321826935E-10;1
-7;0;не число
-6,8;0;не число
-6,6;0;не число
-6,4;2,91038304567337E-11;1
-6,2;1,45519152283669E-11;1
-6;0;не число
-5,8;0;не число
-5,6;7,27595761418343E-12;1
-5,4;3,63797880709171E-12;1
-5,2;0;не число
-5;0;не число
-4,8;0;не число
-4,6;0;не число
-4,4;0;не число
-4,2;0;не число
-4;0;не число
-3,8;0;не число
-3,6;1,13686837721616E-13;1
-3,4;0;не число
-3,2;0;не число
-3;0;не число
-2,8;2,8421709430404E-14;1
-2,6;0;не число
-2,4;7,105427357601E-15;1
-2,2;7,105427357601E-15;1
-2;0;не число
-1,8;0;не число
-1,6;0;не число
-1,4;1,77635683940025E-15;1
-1,2;8,88178419700125E-16;1
-1;0;не число
-0,799999999999999;0;не число
-0,6;2,22044604925031E-16;1
-0,399999999999999;2,22044604925031E-16;1
-0,199999999999999;2,22044604925031E-16;1
0;0;не число
0,200000000000001;2,22044604925031E-16;1
0,4;0;не число
0,600000000000001;2,22044604925031E-16;1
0,800000000000001;0;не число
1;0;не число
1,2;0;не число
1,4;1,77635683940025E-15;1
1,6;0;не число
1,8;3,5527136788005E-15;1
2;0;не число
2,2;0;не число
2,4;0;не число
2,6;0;не число
2,8;0;не число
3;0;не число
3,2;0;не число
3,4;0;не число
3,6;1,13686837721616E-13;1
3,8;1,13686837721616E-13;1
4;0;не число
4,2;4,54747350886464E-13;1
4,4;4,54747350886464E-13;1
4,6;9,09494701772928E-13;1
4,8;9,09494701772928E-13;1
5;0;не число
5,2;0;не число
5,4;0;не число
5,6;7,27595761418343E-12;1
5,8;0;не число
6;0;не число
6,2;1,45519152283669E-11;1
6,4;2,91038304567337E-11;1
6,6;0;не число
6,8;5,82076609134674E-11;1
7;0;не число
7,2;1,16415321826935E-10;1
7,4;0;не число
7,6;0;не число
7,8;4,65661287307739E-10;1
8;0;не число
8,2;0;не число
8,4;0;не число
8,6;0;не число
8,8;0;не число
9;0;не число
9,2;7,45058059692383E-09;1
9,4;0;не число
9,6;0;не число
9,8;0;не число
10;0;не число
