angle; absoluteError; relativeError
2;2;0;NaN
2;4;0;NaN
2;6;0;NaN
2;8;0;NaN
2;10;0;NaN
2;12;1,11022302462516E-16;1
2;14;1,11022302462516E-16;1
2;16;0;NaN
2;18;0;NaN
2;20;0;NaN
2;22;0;NaN
2;24;3,46944695195361E-17;1
2;26;0;NaN
2;28;0;NaN
2;30;0;NaN
2;32;0;NaN
2;34;0;NaN
2;36;0;NaN
2;38;0;NaN
2;40;0;NaN
2;42;0;NaN
2;44;0;NaN
2;46;3,46944695195361E-18;1
2;48;1,11022302462516E-16;1
2;50;0;NaN
2;52;0;NaN
2;54;1,11022302462516E-16;1
2;56;0;NaN
2;58;0;NaN
2;60;0;NaN
2;62;5,55111512312578E-17;1
2;64;1,11022302462516E-16;1
2;66;0;NaN
2;68;5,55111512312578E-17;1
2;70;0;NaN
2;72;0;NaN
2;74;5,55111512312578E-17;1
2;76;0;NaN
2;78;0;NaN
2;80;0;NaN
2;82;0;NaN
2;84;5,55111512312578E-17;1
2;86;0;NaN
2;88;0;NaN
2;90;5,55111512312578E-17;1
2;92;0;NaN
2;94;0;NaN
2;96;0;NaN
2;98;0;NaN
2;100;0;NaN
2;102;0;NaN
2;104;0;NaN
2;106;5,55111512312578E-17;1
2;108;0;NaN
2;110;0;NaN
2;112;3,46944695195361E-17;1
2;114;0;NaN
2;116;0;NaN
2;118;2,77555756156289E-17;1
2;120;0;NaN
2;122;0;NaN
2;124;0;NaN
2;126;1,11022302462516E-16;1
2;128;5,55111512312578E-17;1
2;130;0;NaN
2;132;0;NaN
2;134;2,08166817117217E-17;1
2;136;1,11022302462516E-16;1
2;138;0;NaN
2;140;5,55111512312578E-17;1
2;142;0;NaN
2;144;1,11022302462516E-16;1
2;146;0;NaN
2;148;0;NaN
2;150;5,55111512312578E-17;1
2;152;1,11022302462516E-16;1
2;154;0;NaN
2;156;3,46944695195361E-17;1
2;158;0;NaN
2;160;1,11022302462516E-16;1
2;162;2,77555756156289E-17;1
2;164;0;NaN
2;166;1,11022302462516E-16;1
2;168;0;NaN
2;170;0;NaN
2;172;5,55111512312578E-17;1
2;174;0;NaN
2;176;0;NaN
2;178;2,77555756156289E-17;1
2;180;0;NaN
2;182;1,11022302462516E-16;1
2;184;0;NaN
2;186;1,11022302462516E-16;1
2;188;1,11022302462516E-16;1
2;190;0;NaN
2;192;0;NaN
2;194;0;NaN
2;196;1,11022302462516E-16;1
2;198;1,11022302462516E-16;1
4;2;0;NaN
4;4;0;NaN
4;6;1,11022302462516E-16;1
4;8;1,11022302462516E-16;1
4;10;0;NaN
4;12;1,11022302462516E-16;1
4;14;1,11022302462516E-16;1
4;16;1,11022302462516E-16;1
4;18;1,11022302462516E-16;1
4;20;1,11022302462516E-16;1
4;22;0;NaN
4;24;0;NaN
4;26;2,08166817117217E-17;1
4;28;0;NaN
4;30;1,11022302462516E-16;1
4;32;5,55111512312578E-17;1
4;34;1,11022302462516E-16;1
4;36;0;NaN
4;38;0;NaN
4;40;0;NaN
4;42;5,55111512312578E-17;1
4;44;1,11022302462516E-16;1
4;46;0;NaN
4;48;1,6306400674182E-16;1
4;50;1,11022302462516E-16;1
4;52;0;NaN
4;54;5,55111512312578E-17;1
4;56;1,11022302462516E-16;1
4;58;0;NaN
4;60;0;NaN
4;62;0;NaN
4;64;0;NaN
4;66;0;NaN
4;68;0;NaN
4;70;0;NaN
4;72;1,11022302462516E-16;1
4;74;0;NaN
4;76;5,55111512312578E-17;1
4;78;1,11022302462516E-16;1
4;80;1,11022302462516E-16;1
4;82;0;NaN
4;84;1,11022302462516E-16;1
4;86;5,55111512312578E-17;1
4;88;1,11022302462516E-16;1
4;90;0;NaN
4;92;5,55111512312578E-17;1
4;94;1,11022302462516E-16;1
4;96;1,11022302462516E-16;1
4;98;8,32667268468867E-17;1
4;100;1,11022302462516E-16;1
4;102;0;NaN
4;104;1,11022302462516E-16;1
4;106;0;NaN
4;108;1,11022302462516E-16;1
4;110;1,11022302462516E-16;1
4;112;1,11022302462516E-16;1
4;114;2,08166817117217E-17;1
4;116;0;NaN
4;118;1,11022302462516E-16;1
4;120;5,55111512312578E-17;1
4;122;0;NaN
4;124;0;NaN
4;126;5,55111512312578E-17;1
4;128;1,11022302462516E-16;1
4;130;1,11022302462516E-16;1
4;132;0;NaN
4;134;0;NaN
4;136;2,08166817117217E-17;1
4;138;0;NaN
4;140;0;NaN
