x;g_ginvx;absoluteError;relativeError
-0,258;-0,258;5,55111512312578E-17;2,15159500896348E-16
-0,257;-0,257;1,11022302462516E-16;4,31993394795781E-16
-0,256;-0,256;5,55111512312578E-17;2,16840434497101E-16
-0,255;-0,255;1,11022302462516E-16;4,35381578284375E-16
-0,254;-0,254;0;0
-0,253;-0,253;0;0
-0,252;-0,252;1,11022302462516E-16;4,40564692311571E-16
-0,251;-0,251;1,11022302462516E-16;4,42319930129545E-16
-0,25;-0,25;1,11022302462516E-16;4,44089209850063E-16
-0,249;-0,249;0;0
-0,248;-0,248;5,55111512312578E-17;2,23835287222814E-16
-0,247;-0,247;0;0
-0,246;-0,246;2,77555756156289E-17;1,12827543152963E-16
-0,245;-0,245;8,32667268468867E-17;3,39864191211783E-16
-0,244;-0,244;8,32667268468867E-17;3,4125707724134E-16
-0,243;-0,243;8,32667268468867E-17;3,42661427353444E-16
-0,242;-0,242;8,32667268468867E-17;3,44077383664822E-16
-0,241;-0,241;8,32667268468867E-17;3,45505090650983E-16
-0,24;-0,24;2,77555756156289E-17;1,15648231731787E-16
-0,239;-0,239;2,77555756156289E-17;1,16132115546565E-16
-0,238;-0,238;5,55111512312578E-17;2,33240131223773E-16
-0,237;-0,237;2,77555756156289E-17;1,17112133399278E-16
-0,236;-0,236;0;0
-0,235;-0,235;8,32667268468867E-17;3,54326497220795E-16
-0,234;-0,234;8,32667268468867E-17;3,55840713020884E-16
-0,233;-0,233;8,32667268468867E-17;3,57367926381489E-16
-0,232;-0,232;5,55111512312578E-17;2,39272203583008E-16
-0,231;-0,231;5,55111512312578E-17;2,40308013988129E-16
-0,23;-0,23;8,32667268468867E-17;3,62029247160378E-16
-0,229;-0,229;5,55111512312578E-17;2,42406773935624E-16
-0,228;-0,228;1,11022302462516E-16;4,86939923081209E-16
-0,227;-0,227;8,32667268468867E-17;3,66813774655889E-16
-0,226;-0,226;8,32667268468867E-17;3,68436844455251E-16
-0,225;-0,225;8,32667268468867E-17;3,70074341541719E-16
-0,224;-0,224;2,77555756156289E-17;1,23908819712629E-16
-0,223;-0,223;8,32667268468867E-17;3,73393393932228E-16
-0,222;-0,222;8,32667268468867E-17;3,75075346157148E-16
-0,221;-0,221;5,55111512312578E-17;2,51181679779447E-16
-0,22;-0,22;5,55111512312578E-17;2,52323414687536E-16
-0,219;-0,219;5,55111512312578E-17;2,53475576398438E-16
-0,218;-0,218;2,77555756156289E-17;1,27319154200133E-16
-0,217;-0,217;2,77555756156289E-17;1,27905878413037E-16
-0,216;-0,216;8,32667268468867E-17;3,85494105772624E-16
-0,215;-0,215;5,55111512312578E-17;2,58191401075618E-16
-0,214;-0,214;8,32667268468867E-17;3,89096854424705E-16
-0,213;-0,213;0;0
-0,212;-0,212;8,32667268468867E-17;3,92767579466447E-16
-0,211;-0,211;8,32667268468867E-17;3,94629037189037E-16
-0,21;-0,21;2,77555756156289E-17;1,32169407693471E-16
-0,209;-0,209;1,11022302462516E-16;5,31207188815865E-16
-0,208;-0,208;0;0
-0,207;-0,207;8,32667268468867E-17;4,02254719067086E-16
-0,206;-0,206;1,11022302462516E-16;5,38943215837456E-16
-0,205;-0,205;8,32667268468867E-17;4,06179155350667E-16
-0,204;-0,204;0;0
-0,203;-0,203;8,32667268468867E-17;4,10180920428014E-16
-0,202;-0,202;0;0
-0,201;-0,201;1,11022302462516E-16;5,52349763495104E-16
-0,2;-0,2;8,32667268468867E-17;4,16333634234434E-16
-0,199;-0,199;0;0
-0,198;-0,198;2,77555756156289E-17;1,40179674826409E-16
-0,197;-0,197;1,11022302462516E-16;5,6356498711937E-16
