x;ginv_gx;absoluteError;relativeError
1,03692629224291;1,03692629224291;0;0
1,04688989022695;1,04688989022695;0;0
1,05685348821099;1,05685348821099;0;0
1,06681708619502;1,06681708619502;2,22044604925031E-16;2,08137465923975E-16
1,07678068417906;1,07678068417906;0;0
1,08674428216309;1,08674428216309;0;0
1,09670788014713;1,09670788014713;0;0
1,10667147813117;1,10667147813117;2,22044604925031E-16;2,00641842961379E-16
1,1166350761152;1,1166350761152;0;0
1,12659867409924;1,12659867409924;0;0
1,13656227208328;1,13656227208328;0;0
1,14652587006731;1,14652587006731;0;0
1,15648946805135;1,15648946805135;0;0
1,16645306603538;1,16645306603538;0;0
1,17641666401942;1,17641666401942;0;0
1,18638026200346;1,18638026200346;0;0
1,19634385998749;1,19634385998749;0;0
1,20630745797153;1,20630745797153;0;0
1,21627105595557;1,21627105595557;0;0
1,2262346539396;1,2262346539396;0;0
1,23619825192364;1,23619825192364;0;0
1,24616184990767;1,24616184990767;0;0
1,25612544789171;1,25612544789171;2,22044604925031E-16;1,76769450294724E-16
1,26608904587575;1,26608904587575;0;0
1,27605264385978;1,27605264385978;0;0
1,28601624184382;1,28601624184382;0;0
1,29597983982786;1,29597983982786;2,22044604925031E-16;1,71333378885373E-16
1,30594343781189;1,30594343781189;0;0
1,31590703579593;1,31590703579593;0;0
1,32587063377996;1,32587063377996;2,22044604925031E-16;1,67470791846409E-16
1,335834231764;1,335834231764;0;0
1,34579782974804;1,34579782974804;0;0
1,35576142773207;1,35576142773207;0;0
1,36572502571611;1,36572502571611;0;0
1,37568862370015;1,37568862370015;0;0
1,38565222168418;1,38565222168418;0;0
1,39561581966822;1,39561581966822;0;0
1,40557941765225;1,40557941765225;0;0
1,41554301563629;1,41554301563629;2,22044604925031E-16;1,56861785528447E-16
1,42550661362033;1,42550661362033;2,22044604925031E-16;1,55765397931834E-16
1,43547021160436;1,43547021160436;0;0
1,4454338095884;1,4454338095884;2,22044604925031E-16;1,53617968150517E-16
1,45539740757244;1,45539740757244;0;0
1,46536100555647;1,46536100555647;2,22044604925031E-16;1,51528943436508E-16
1,47532460354051;1,47532460354051;2,22044604925031E-16;1,50505593407827E-16
1,48528820152454;1,48528820152454;4,44089209850063E-16;2,98991946070962E-16
1,49525179950858;1,49525179950858;2,22044604925031E-16;1,48499807857116E-16
1,50521539749262;1,50521539749262;4,44089209850063E-16;2,9503366135493E-16
1,51517899547665;1,51517899547665;0;0
1,52514259346069;1,52514259346069;2,22044604925031E-16;1,45589406444411E-16
1,53510619144473;1,53510619144473;0;0
1,54506978942876;1,54506978942876;2,22044604925031E-16;1,43711699267076E-16
1,5550333874128;1,5550333874128;2,22044604925031E-16;1,42790892287181E-16
1,56499698539683;1,56499698539683;2,22044604925031E-16;1,41881809995134E-16
1,57496058338087;1,57496058338087;2,22044604925031E-16;1,40984229870936E-16
1,58492418136491;1,58492418136491;0;0
1,59488777934894;1,59488777934894;2,22044604925031E-16;1,39222713848665E-16
1,60485137733298;1,60485137733298;2,22044604925031E-16;1,38358360195345E-16
1,61481497531702;1,61481497531701;2,22044604925031E-16;1,37504672869064E-16
1,62477857330105;1,62477857330105;2,22044604925031E-16;1,36661455643094E-16
1,63474217128509;1,63474217128509;0;0
1,64470576926912;1,64470576926912;2,22044604925031E-16;1,35005670359935E-16
1,65466936725316;1,65466936725316;2,22044604925031E-16;1,3419273319457E-16
1,6646329652372;1,6646329652372;2,22044604925031E-16;1,3338952763884E-16
1,67459656322123;1,67459656322123;4,44089209850063E-16;2,65191759975799E-16
1,68456016120527;1,68456016120527;2,22044604925031E-16;1,31811620646521E-16
1,6945237591893;1,6945237591893;2,22044604925031E-16;1,31036584008277E-16
1,70448735717334;1,70448735717334;0;0
1,71445095515738;1,71445095515738;0;0
1,72441455314141;1,72441455314141;0;0
1,73437815112545;1,73437815112545;0;0
1,74434174910949;1,74434174910949;2,22044604925031E-16;1,27294210001216E-16
1,75430534709352;1,75430534709352;0;0
1,76426894507756;1,76426894507756;4,44089209850063E-16;2,51712875799976E-16
1,77423254306159;1,7742325430616;2,22044604925031E-16;1,25149663043534E-16
1,78419614104563;1,78419614104563;2,22044604925031E-16;1,24450781961058E-16
1,79415973902967;1,79415973902967;2,22044604925031E-16;1,23759663141878E-16
1,8041233370137;1,8041233370137;0;0
1,81408693499774;1,81408693499774;2,22044604925031E-16;1,22400200696726E-16
1,82405053298178;1,82405053298178;0;0
1,83401413096581;1,83401413096581;0;0
1,84397772894985;1,84397772894985;2,22044604925031E-16;1,2041609908786E-16
1,85394132693388;1,85394132693388;2,22044604925031E-16;1,19768949372447E-16
1,86390492491792;1,86390492491792;2,22044604925031E-16;1,1912871840006E-16
1,87386852290196;1,87386852290196;2,22044604925031E-16;1,1849529580718E-16
1,88383212088599;1,88383212088599;4,44089209850063E-16;2,35737147130287E-16
1,89379571887003;1,89379571887003;8,88178419700125E-16;4,6899378367487E-16
1,90375931685407;1,90375931685407;2,22044604925031E-16;1,1663480932661E-16
1,9137229148381;1,9137229148381;0;0
1,92368651282214;1,92368651282214;0;0
1,93365011080617;1,93365011080617;0;0
1,94361370879021;1,94361370879021;4,44089209850063E-16;2,28486353971275E-16
1,95357730677425;1,95357730677425;4,44089209850063E-16;2,27321032195723E-16
1,96354090475828;1,96354090475828;0;0
1,97350450274232;1,97350450274232;6,66133814775094E-16;3,37538533025618E-16
1,98346810072636;1,98346810072636;0;0
1,99343169871039;1,99343169871039;2,22044604925031E-16;1,11388117821483E-16
2,00339529669443;2,00339529669443;0;0
2,01335889467846;2,01335889467846;0;0
2,0233224926625;2,0233224926625;4,44089209850063E-16;2,1948513470321E-16
2,03328609064654;2,03328609064654;4,44089209850063E-16;2,18409603986841E-16
2,04324968863057;2,04324968863057;4,44089209850063E-16;2,17344562596116E-16
2,05321328661461;2,05321328661461;4,44089209850063E-16;2,16289857826845E-16
2,06317688459865;2,06317688459865;8,88178419700125E-16;4,30490679849248E-16
2,07314048258268;2,07314048258268;4,44089209850063E-16;2,14210862013955E-16
2,08310408056672;2,08310408056672;4,44089209850063E-16;2,1318628002939E-16
2,09306767855076;2,09306767855076;4,44089209850063E-16;2,12171452648655E-16
2,10303127653479;2,10303127653479;4,44089209850063E-16;2,11166241227661E-16
2,11299487451883;2,11299487451883;8,88178419700125E-16;4,2034101947473E-16
2,12295847250287;2,12295847250287;8,88178419700125E-16;4,18368249404806E-16
2,1329220704869;2,1329220704869;8,88178419700125E-16;4,16413910282888E-16
2,14288566847094;2,14288566847094;4,44089209850063E-16;2,0723887250921E-16
2,15284926645498;2,15284926645498;8,88178419700125E-16;4,12559501280207E-16
2,16281286443901;2,16281286443901;4,44089209850063E-16;2,05329465693395E-16
2,17277646242305;2,17277646242305;4,44089209850063E-16;2,04387896099915E-16
2,18274006040708;2,18274006040708;4,44089209850063E-16;2,03454922510214E-16
2,19270365839112;2,19270365839112;0;0
2,20266725637516;2,20266725637516;8,88178419700125E-16;4,03228593483414E-16
2,21263085435919;2,21263085435919;4,44089209850063E-16;2,007064165155E-16
2,22259445234323;2,22259445234323;8,88178419700125E-16;3,99613352208154E-16
2,23255805032727;2,23255805032727;0;0
2,2425216483113;2,2425216483113;4,44089209850063E-16;1,98031180739984E-16
2,25248524629534;2,25248524629534;8,88178419700125E-16;3,94310427187442E-16
2,26244884427938;2,26244884427938;4,44089209850063E-16;1,96286961790516E-16
2,27241244226341;2,27241244226341;0;0
2,28237604024745;2,28237604024745;0;0
2,29233963823149;2,29233963823149;0;0
2,30230323621552;2,30230323621552;4,44089209850063E-16;1,928891046429E-16
2,31226683419956;2,31226683419956;0;0
2,32223043218359;2,3222304321836;4,44089209850063E-16;1,91233911887239E-16
2,33219403016763;2,33219403016763;4,44089209850063E-16;1,90416922479706E-16
2,34215762815167;2,34215762815167;0;0
2,3521212261357;2,3521212261357;4,44089209850063E-16;1,8880370829341E-16
2,36208482411974;2,36208482411974;8,88178419700125E-16;3,76014616677077E-16
2,37204842210378;2,37204842210378;4,44089209850063E-16;1,87217598811157E-16
2,38201202008781;2,38201202008781;4,44089209850063E-16;1,86434495756109E-16
2,39197561807185;2,39197561807185;4,44089209850063E-16;1,85657916617076E-16
2,40193921605589;2,40193921605589;4,44089209850063E-16;1,84887780207561E-16
2,41190281403992;2,41190281403992;4,44089209850063E-16;1,84124006682598E-16
2,42186641202396;2,42186641202396;4,44089209850063E-16;1,83366517511152E-16
2,431830010008;2,431830010008;4,44089209850063E-16;1,82615235449209E-16
2,44179360799203;2,44179360799203;0;0
2,45175720597607;2,45175720597607;8,88178419700125E-16;3,62261979911886E-16
2,46172080396011;2,4617208039601;4,44089209850063E-16;1,80397878238535E-16
2,47168440194414;2,47168440194414;4,44089209850063E-16;1,7967067700907E-16
2,48164799992818;2,48164799992818;0;0
2,49161159791221;2,49161159791222;4,44089209850063E-16;1,78233722391635E-16
2,50157519589625;2,50157519589625;4,44089209850063E-16;1,77523830016613E-16
2,51153879388029;2,51153879388029;4,44089209850063E-16;1,76819570110622E-16
2,52150239186432;2,52150239186432;4,44089209850063E-16;1,76120875904352E-16
2,53146598984836;2,53146598984836;0;0
2,5414295878324;2,5414295878324;4,44089209850063E-16;1,74739922749081E-16
2,55139318581643;2,55139318581643;4,44089209850063E-16;1,74057535435471E-16
2,56135678380047;2,56135678380047;1,33226762955019E-15;5,20141371157752E-16
2,57132038178451;2,57132038178451;8,88178419700125E-16;3,4541725177153E-16
2,58128397976854;2,58128397976854;4,44089209850063E-16;1,72041981173216E-16
2,59124757775258;2,59124757775258;4,44089209850063E-16;1,71380463087679E-16
2,60121117573662;2,60121117573662;4,44089209850063E-16;1,70724012718539E-16
2,61117477372065;2,61117477372065;4,44089209850063E-16;1,70072572054333E-16
2,62113837170469;2,62113837170469;8,88178419700125E-16;3,38852167931328E-16
2,63110196968873;2,63110196968873;4,44089209850063E-16;1,68784492188496E-16
2,64106556767276;2,64106556767276;4,44089209850063E-16;1,68147741307832E-16
2,6510291656568;2,6510291656568;4,44089209850063E-16;1,67515776741762E-16
2,66099276364083;2,66099276364083;4,44089209850063E-16;1,6688854472586E-16
2,67095636162487;2,67095636162487;8,88178419700125E-16;3,32531984595886E-16
2,68091995960891;2,68091995960891;0;0
2,69088355759294;2,69088355759294;0;0
2,70084715557698;2,70084715557698;0;0
2,71081075356102;2,71081075356102;4,44089209850063E-16;1,63821546475235E-16
2,72077435154505;2,72077435154505;8,88178419700125E-16;3,26443249215339E-16
2,73073794952909;2,73073794952909;0;0
2,74070154751313;2,74070154751313;4,44089209850063E-16;1,62034866676024E-16
2,75066514549716;2,75066514549716;0;0
2,7606287434812;2,7606287434812;1,33226762955019E-15;4,82595724867436E-16
2,77059234146524;2,77059234146524;4,44089209850063E-16;1,6028673840021E-16
2,78055593944927;2,78055593944927;0;0
2,79051953743331;2,79051953743331;1,33226762955019E-15;4,77426375869633E-16
2,80048313541734;2,80048313541734;0;0
2,81044673340138;2,81044673340138;0;0
2,82041033138542;2,82041033138542;8,88178419700125E-16;3,14911064470481E-16
2,83037392936945;2,83037392936945;1,33226762955019E-15;4,70703752506295E-16
2,84033752735349;2,84033752735349;8,88178419700125E-16;3,12701716308939E-16
2,85030112533753;2,85030112533753;1,33226762955019E-15;4,67412940235366E-16
2,86026472332156;2,86026472332156;8,88178419700125E-16;3,10523152790104E-16
2,8702283213056;2,8702283213056;0;0
2,88019191928964;2,88019191928964;0;0
2,89015551727367;2,89015551727367;0;0
2,90011911525771;2,90011911525771;1,33226762955019E-15;4,59383762046546E-16
2,91008271324175;2,91008271324174;8,88178419700125E-16;3,052072766381E-16
2,92004631122578;2,92004631122578;1,33226762955019E-15;4,56248801407169E-16
2,93000990920982;2,93000990920982;4,44089209850063E-16;1,51565770632437E-16
2,93997350719386;2,93997350719385;4,44089209850063E-16;1,51052112804219E-16
2,94993710517789;2,94993710517789;8,88178419700125E-16;3,01083849598402E-16
2,95990070316193;2,95990070316193;8,88178419700125E-16;3,00070343154189E-16
2,96986430114596;2,96986430114596;4,44089209850063E-16;1,4953181856784E-16
2,97982789913;2,97982789913;8,88178419700125E-16;2,98063663327483E-16
2,98979149711404;2,98979149711404;8,88178419700125E-16;2,97070354423531E-16
2,99975509509807;2,99975509509807;1,33226762955019E-15;4,44125466017962E-16
3,00971869308211;3,00971869308211;4,44089209850063E-16;1,47551733280193E-16
3,01968229106615;3,01968229106615;0;0
3,02964588905018;3,02964588905018;4,44089209850063E-16;1,46581226358863E-16
3,03960948703422;3,03960948703422;4,44089209850063E-16;1,4610074476487E-16
3,04957308501826;3,04957308501826;0;0
3,05953668300229;3,05953668300229;0;0
3,06950028098633;3,06950028098633;4,44089209850063E-16;1,44678015702075E-16
3,07946387897037;3,07946387897037;4,44089209850063E-16;1,44209910329764E-16
3,0894274769544;3,0894274769544;4,44089209850063E-16;1,43744824296006E-16
3,09939107493844;3,09939107493844;0;0
3,10935467292247;3,10935467292248;8,88178419700125E-16;2,85647188284677E-16
3,11931827090651;3,11931827090651;4,44089209850063E-16;1,42367392898643E-16
3,12928186889055;3,12928186889055;4,44089209850063E-16;1,41914096734121E-16
3,13924546687458;3,13924546687459;8,88178419700125E-16;2,82927355975253E-16
3,14920906485862;3,14920906485862;4,44089209850063E-16;1,41016109348078E-16
3,15917266284266;3,15917266284266;8,88178419700125E-16;2,81142727697869E-16
3,16913626082669;3,16913626082669;0;0
3,17909985881073;3,17909985881073;0;0
3,18906345679477;3,18906345679477;4,44089209850063E-16;1,39253801583617E-16
3,1990270547788;3,1990270547788;1,33226762955019E-15;4,16460257052221E-16
3,20899065276284;3,20899065276284;4,44089209850063E-16;1,38389063074308E-16
3,21895425074688;3,21895425074687;8,88178419700125E-16;2,75921417489561E-16
3,22891784873091;3,22891784873091;8,88178419700125E-16;2,7506999598928E-16
3,23888144671495;3,23888144671495;8,88178419700125E-16;2,74223812853961E-16
3,24884504469899;3,24884504469899;0;0
3,25880864268302;3,25880864268302;1,33226762955019E-15;4,08820454229959E-16
3,26877224066706;3,26877224066706;1,77635683940025E-15;5,43432429246814E-16
3,27873583865109;3,2787358386511;8,88178419700125E-16;2,70890508844876E-16
3,28869943663513;3,28869943663513;1,33226762955019E-15;4,05104709390321E-16
3,29866303461917;3,29866303461917;8,88178419700125E-16;2,69254061533043E-16
3,3086266326032;3,3086266326032;0;0
3,31859023058724;3,31859023058724;1,33226762955019E-15;4,01455900541971E-16
3,32855382857128;3,32855382857128;1,33226762955019E-15;4,00254193912808E-16
3,33851742655531;3,33851742655531;4,44089209850063E-16;1,33019886707099E-16
3,34848102453935;3,34848102453935;1,33226762955019E-15;3,97872235137861E-16
3,35844462252339;3,35844462252339;4,44089209850063E-16;1,32230618564255E-16
3,36840822050742;3,36840822050742;8,88178419700125E-16;2,63678972843241E-16
3,37837181849146;3,37837181849146;8,88178419700125E-16;2,6290132271371E-16
3,3883354164755;3,3883354164755;4,44089209850063E-16;1,31064123017667E-16
3,39829901445953;3,39829901445953;8,88178419700125E-16;2,61359702580905E-16
3,40826261244357;3,40826261244357;1,77635683940025E-15;5,21191305187215E-16
3,4182262104276;3,41822621042761;4,44089209850063E-16;1,29918028390084E-16
3,42818980841164;3,42818980841164;8,88178419700125E-16;2,59080876304115E-16
3,43815340639568;3,43815340639568;2,22044604925031E-15;6,45825181947909E-16
3,44811700437971;3,44811700437972;1,33226762955019E-15;3,86375412394061E-16
3,45808060236375;3,45808060236375;2,66453525910038E-15;7,70524335748291E-16
3,46804420034779;3,46804420034779;1,77635683940025E-15;5,12207093330042E-16
3,47800779833182;3,47800779833182;1,77635683940025E-15;5,10739751720009E-16
3,48797139631586;3,48797139631586;1,33226762955019E-15;3,81960594905504E-16
3,4979349942999;3,4979349942999;1,33226762955019E-15;3,8087260961716E-16
3,50789859228393;3,50789859228393;1,77635683940025E-15;5,06387739744693E-16
3,51786219026797;3,51786219026797;8,88178419700125E-16;2,52476751976594E-16
3,52782578825201;3,52782578825201;2,22044604925031E-15;6,29409211941419E-16
3,53778938623604;3,53778938623604;1,33226762955019E-15;3,76581951071888E-16
3,54775298422008;3,54775298422008;4,44089209850063E-16;1,25174782975396E-16
3,55771658220412;3,55771658220412;8,88178419700125E-16;2,49648447024375E-16
3,56768018018815;3,56768018018815;0;0
3,57764377817219;3,57764377817219;4,44089209850063E-16;1,24128962352129E-16
3,58760737615622;3,58760737615623;4,44089209850063E-16;1,23784228118591E-16
3,59757097414026;3,59757097414026;4,44089209850063E-16;1,23441403391962E-16
3,6075345721243;3,60753457212429;2,66453525910038E-15;7,38602834104336E-16
3,61749817010833;3,61749817010833;4,44089209850063E-16;1,2276141934766E-16
3,62746176809237;3,62746176809237;4,44089209850063E-16;1,22424228907477E-16
3,63742536607641;3,63742536607641;8,88178419700125E-16;2,4417777144887E-16
3,64738896406044;3,64738896406044;2,22044604925031E-15;6,08776873300184E-16
3,65735256204448;3,65735256204448;2,22044604925031E-15;6,07118403703764E-16
3,66731616002852;3,66731616002852;1,33226762955019E-15;3,63281367467327E-16
3,67727975801255;3,67727975801255;1,33226762955019E-15;3,62297055764459E-16
3,68724335599659;3,68724335599659;4,44089209850063E-16;1,20439354545948E-16
3,69720695398063;3,69720695398063;1,33226762955019E-15;3,60344348080324E-16
3,70717055196466;3,70717055196466;2,22044604925031E-15;5,98959777578499E-16
3,7171341499487;3,7171341499487;0;0
3,72709774793274;3,72709774793274;3,5527136788005E-15;9,53211833730693E-16
3,73706134591677;3,73706134591677;1,77635683940025E-15;4,75335209934713E-16
3,74702494390081;3,74702494390081;4,44089209850063E-16;1,18517815199743E-16
3,75698854188484;3,75698854188485;1,77635683940025E-15;4,72814015692757E-16
3,76695213986888;3,76695213986888;0;0
3,77691573785292;3,77691573785292;1,77635683940025E-15;4,70319425344148E-16
3,78687933583695;3,78687933583695;8,88178419700125E-16;2,34540987692661E-16
3,79684293382099;3,79684293382099;0;0
3,80680653180503;3,80680653180502;1,77635683940025E-15;4,66626508218682E-16
3,81677012978906;3,81677012978906;1,33226762955019E-15;3,49056292164972E-16
3,8267337277731;3,8267337277731;0;0
3,83669732575714;3,83669732575713;1,33226762955019E-15;3,4724334927496E-16
3,84666092374117;3,84666092374117;1,33226762955019E-15;3,46343921640605E-16
3,85662452172521;3,85662452172521;4,44089209850063E-16;1,15149713784272E-16
3,86658811970925;3,86658811970924;1,33226762955019E-15;3,4455897248512E-16
3,87655171769328;3,87655171769328;1,33226762955019E-15;3,43673379480397E-16
3,88651531567732;3,88651531567732;4,44089209850063E-16;1,14264109048717E-16
3,89647891366135;3,89647891366135;4,44089209850063E-16;1,13971926883282E-16
3,90644251164539;3,90644251164539;3,10862446895044E-15;7,95768646200067E-16
3,91640610962943;3,91640610962942;3,10862446895044E-15;7,93744157764216E-16
3,92636970761346;3,92636970761347;1,33226762955019E-15;3,39312833166689E-16
3,9363333055975;3,9363333055975;0;0
3,94629690358154;3,94629690358153;2,22044604925031E-15;5,62665735372092E-16
3,95626050156557;3,95626050156557;1,33226762955019E-15;3,36749217859386E-16
3,96622409954961;3,96622409954961;8,88178419700125E-16;2,23935510805096E-16
3,97618769753365;3,97618769753365;8,88178419700125E-16;2,23374369437098E-16
3,98615129551768;3,98615129551768;8,88178419700125E-16;2,22816033274717E-16
3,99611489350172;3,99611489350172;1,77635683940025E-15;4,44520962670235E-16
4,00607849148576;4,00607849148575;8,88178419700125E-16;2,21707692844211E-16
4,01604208946979;4,01604208946979;3,5527136788005E-15;8,84630588936268E-16
4,02600568745383;4,02600568745383;3,5527136788005E-15;8,82441296561444E-16
4,03596928543787;4,03596928543786;1,77635683940025E-15;4,40131406799726E-16
4,0459328834219;4,0459328834219;8,88178419700125E-16;2,1952376504796E-16
4,05589648140594;4,05589648140594;1,77635683940025E-15;4,37968978632436E-16
4,06586007938997;4,06586007938997;3,5527136788005E-15;8,73791426519906E-16
4,07582367737401;4,07582367737401;0;0
4,08578727535805;4,08578727535805;0;0
4,09575087334208;4,09575087334209;3,5527136788005E-15;8,6741449581906E-16
4,10571447132612;4,10571447132612;1,77635683940025E-15;4,32654742994463E-16
4,11567806931016;4,11567806931016;0;0
4,12564166729419;4,12564166729419;2,66453525910038E-15;6,45847476338854E-16
4,13560526527823;4,13560526527823;4,44089209850063E-15;1,07381914221493E-15
4,14556886326227;4,14556886326227;8,88178419700125E-16;2,14247657920026E-16
4,1555324612463;4,1555324612463;1,77635683940025E-15;4,27467925221668E-16
4,16549605923034;4,16549605923034;8,88178419700125E-16;2,13222724753756E-16
4,17545965721438;4,17545965721438;3,5527136788005E-15;8,50855707026676E-16
4,18542325519841;4,18542325519842;3,5527136788005E-15;8,4883020477987E-16
4,19538685318245;4,19538685318245;8,88178419700125E-16;2,11703580809572E-16
4,20535045116648;4,20535045116649;2,66453525910038E-15;6,336059955149E-16
4,21531404915052;4,21531404915052;8,88178419700125E-16;2,10702787347271E-16
