x;ginv_gx;absoluteError;relativeError
-49,9;-49,7042746805689;0,195725319431084;0,00393779651124452
-49,8;-49,7042746805689;0,0957253194310823;0,00192589711943839
-49,7;-49,7042746805689;0,00427468056891911;8,60022723677372E-05
-49,6;-49,7042746805689;0,104274680568921;0,00209790166417387
-49,5;-49,7042746805689;0,204274680568922;0,00410980105598
-49,4;-49,1822775952204;0,217722404779572;0,00442684673067541
-49,3;-49,1822775952204;0,11772240477957;0,00239359400449992
-49,2;-49,1822775952204;0,017722404779569;0,000360341278324436
-49,1;-49,1822775952204;0,0822775952204324;0,00167291144785105
-49;-49,1822775952204;0,182277595220434;0,00370616417402654
-48,9;-48,7105345190763;0,189465480923694;0,0038896202391188
-48,8;-48,7105345190763;0,0894654809236926;0,00183667623044981
-48,7;-48,7105345190763;0,0105345190763089;0,000216267778219171
-48,6;-48,7105345190763;0,11053451907631;0,00226921178688816
-48,5;-48,7105345190763;0,210534519076312;0,00432215579555714
-48,4;-48,2805820851005;0,119417914899522;0,00247341497849038
-48,3;-48,2805820851005;0,0194179148995204;0,000402188914485205
-48,2;-48,2805820851005;0,080582085100481;0,00166903714951997
-48,1;-48,2805820851005;0,180582085100482;0,00374026321352515
-48;-47,8859030120247;0,114096987975316;0,00238268427237688
-47,9;-47,8859030120247;0,0140969879753143;0,000294387013476063
-47,8;-47,8859030120247;0,0859030120246871;0,00179391024542475
-47,7;-47,5213752866868;0,178624713313127;0,00375882878463681
-47,6;-47,5213752866868;0,0786247133131255;0,00165451258173398
-47,5;-47,5213752866868;0,0213752866868759;0,000449803621168856
-47,4;-47,5213752866868;0,121375286686877;0,00255411982407169
-47,3;-47,1829027417959;0,117097258204012;0,00248177308727308
-47,2;-47,1829027417959;0,0170972582040108;0,000362361304847519
-47,1;-47,1829027417959;0,0829027417959907;0,00175705047757804
-47;-46,8671599097344;0,132840090265525;0,00283439599330049
-46,9;-46,8671599097344;0,0328400902655233;0,000700705789059394
-46,8;-46,8671599097344;0,0671599097344782;0,0014329844151817
-46,7;-46,5714112888562;0,128588711143728;0,00276110831913949
-46,6;-46,5714112888562;0,0285887111437262;0,0006138682584989
-46,5;-46,5714112888562;0,0714112888562752;0,00153337180214169
-46,3999999999999;-46,2933804695292;0,106619530470773;0,00230312691338131
-46,2999999999999;-46,2933804695292;0,00661953047077191;0,000142990863998989
-46,1999999999999;-46,2933804695292;0,0933804695292295;0,00201714518538333
-46,0999999999999;-46,0311535129375;0,0688464870624301;0,00149564983295672
-45,9999999999999;-46,0311535129375;0,0311535129375713;0,000676791923730855
-45,8999999999999;-45,7831063842832;0,116893615716769;0,00255320411716094
-45,7999999999999;-45,7831063842832;0,0168936157167678;0,000368992343485178
-45,6999999999999;-45,7831063842832;0,0831063842832336;0,00181521943019059
-45,5999999999999;-45,5478496117257;0,0521503882742635;0,00114495829592004
-45,4999999999999;-45,5478496117257;0,0478496117257379;0,00105053503367631
-45,3999999999999;-45,3241854983401;0,0758145016598561;0,00167271625129662
-45,2999999999999;-45,3241854983401;0,0241854983401453;0,000533611317538867
-45,1999999999999;-45,1110746268272;0,088925373172728;0,00197125370894722
-45,0999999999999;-45,1110746268272;0,0110746268272734;0,000245496852355795
-44,9999999999999;-44,9076093419728;0,0923906580271421;0,00205734973161418
-44,8999999999999;-44,9076093419728;0,00760934197285934;0,000169444378900555
-44,7999999999999;-44,7129925407226;0,0870074592773165;0,00194590999915906
-44,6999999999999;-44,7129925407226;0,012992540722685;0,000290576407089101
-44,5999999999999;-44,5265205474174;0,073479452582518;0,00165024016426947
-44,4999999999999;-44,5265205474174;0,0265205474174834;0,000595612392152696
-44,3999999999999;-44,3475691674927;0,0524308325071772;0,00118227071948759
-44,2999999999999;-44,3475691674927;0,0475691674928242;0,00107264430465544
-44,1999999999999;-44,1755822389327;0,0244177610672622;0,000552743389667029
-44,0999999999999;-44,1755822389327;0,0755822389327392;0,00171095059990239
-43,9999999999999;-44,0100621646748;0,0100621646749346;0,000228633275665107
-43,8999999999999;-43,8505620295274;0,0494379704725176;0,00112741931196293
-43,7999999999999;-43,8505620295274;0,0505620295274838;0,00115305316938554
-43,6999999999999;-43,6966789945568;0,00332100544306257;7,60013236584012E-05
-43,5999999999999;-43,5480487290171;0,0519512709828476;0,00119296438070327
-43,4999999999999;-43,5480487290171;0,0480487290171538;0,00110334975778462
-43,3999999999999;-43,4043406907651;0,00434069076521126;0,000100005914065982
-43,2999999999999;-43,2652541050374;0,0347458949625192;0,000803090047227384
-43,1999999999999;-43,2652541050374;0,0652541050374822;0,00150823348636902
-43,0999999999999;-43,1305145215001;0,030514521500244;0,000707492638072584
-42,9999999999999;-42,999870852861;0,000129147138892449;3,00343085527794E-06
-42,8999999999999;-42,8730928166487;0,0269071833511845;0,000627600706724282
-42,7999999999999;-42,7499687162338;0,050031283766053;0,00117032328369995
