x;absoluteError;relativeError;result
40,1;0;0;40,1
40,2;0;0;40,2
40,3;0;0;40,3
40,4;0;0;40,4
40,5;0;0;40,5
40,6;0;0;40,6
40,7;0;0;40,7
40,8;0;0;40,8
40,9;0;0;40,9
41;0;0;41
41,1;0;0;41,1
41,2;0;0;41,2
41,3;0;0;41,3
41,4;0;0;41,4
41,5;0;0;41,5
41,6;0;0;41,6
41,7;0;0;41,7
41,8;0;0;41,8
41,9;0;0;41,9
42;0;0;42
42,1;0;0;42,1
42,2;0;0;42,2
42,3;0;0;42,3
42,4;0;0;42,4
42,5;0;0;42,5
42,6;0;0;42,6
42,7;0;0;42,7
42,8;0;0;42,8
42,9;0;0;42,9
43;0;0;43
43,1;0;0;43,1
43,2;0;0;43,2
43,3;0;0;43,3
43,4;0;0;43,4
43,5000000000001;0;0;43,5000000000001
43,6000000000001;0;0;43,6000000000001
43,7000000000001;0;0;43,7000000000001
43,8000000000001;0;0;43,8000000000001
43,9000000000001;0;0;43,9000000000001
44,0000000000001;0;0;44,0000000000001
44,1000000000001;0;0;44,1000000000001
44,2000000000001;0;0;44,2000000000001
44,3000000000001;0;0;44,3000000000001
44,4000000000001;0;0;44,4000000000001
44,5000000000001;0;0;44,5000000000001
44,6000000000001;0;0;44,6000000000001
44,7000000000001;0;0;44,7000000000001
44,8000000000001;0;0;44,8000000000001
44,9000000000001;0;0;44,9000000000001
45,0000000000001;0;0;45,0000000000001
45,1000000000001;0;0;45,1000000000001
45,2000000000001;0;0;45,2000000000001
45,3000000000001;0;0;45,3000000000001
45,4000000000001;0;0;45,4000000000001
45,5000000000001;0;0;45,5000000000001
45,6000000000001;0;0;45,6000000000001
45,7000000000001;0;0;45,7000000000001
45,8000000000001;0;0;45,8000000000001
45,9000000000001;0;0;45,9000000000001
46,0000000000001;0;0;46,0000000000001
46,1000000000001;0;0;46,1000000000001
46,2000000000001;0;0;46,2000000000001
46,3000000000001;0;0;46,3000000000001
46,4000000000001;0;0;46,4000000000001
46,5000000000001;0;0;46,5000000000001
46,6000000000001;0;0;46,6000000000001
46,7000000000001;0;0;46,7000000000001
46,8000000000001;0;0;46,8000000000001
46,9000000000001;0;0;46,9000000000001
47,0000000000001;0;0;47,0000000000001
47,1000000000001;0;0;47,1000000000001
47,2000000000001;0;0;47,2000000000001
47,3000000000001;0;0;47,3000000000001
47,4000000000001;0;0;47,4000000000001
47,5000000000001;0;0;47,5000000000001
47,6000000000001;0;0;47,6000000000001
47,7000000000001;0;0;47,7000000000001
47,8000000000001;0;0;47,8000000000001
47,9000000000001;0;0;47,9000000000001
48,0000000000001;0;0;48,0000000000001
48,1000000000001;0;0;48,1000000000001
48,2000000000001;0;0;48,2000000000001
48,3000000000001;0;0;48,3000000000001
48,4000000000001;0;0;48,4000000000001
48,5000000000001;0;0;48,5000000000001
48,6000000000001;0;0;48,6000000000001
48,7000000000001;0;0;48,7000000000001
48,8000000000001;0;0;48,8000000000001
48,9000000000001;0;0;48,9000000000001
49,0000000000001;0;0;49,0000000000001
49,1000000000001;0;0;49,1000000000001
49,2000000000001;0;0;49,2000000000001
49,3000000000001;0;0;49,3000000000001
49,4000000000001;0;0;49,4000000000001
49,5000000000001;0;0;49,5000000000001
49,6000000000001;0;0;49,6000000000001
49,7000000000001;0;0;49,7000000000001
49,8000000000001;0;0;49,8000000000001
49,9000000000001;0;0;49,9000000000001
50,0000000000001;0;0;50,0000000000001
50,1000000000001;0;0;50,1000000000001
50,2000000000001;0;0;50,2000000000001
50,3000000000001;0;0;50,3000000000001
50,4000000000001;0;0;50,4000000000001
50,5000000000001;0;0;50,5000000000001
50,6000000000002;0;0;50,6000000000002
50,7000000000002;0;0;50,7000000000002
50,8000000000002;0;0;50,8000000000002
50,9000000000002;0;0;50,9000000000002
51,0000000000002;0;0;51,0000000000002
51,1000000000002;0;0;51,1000000000002
51,2000000000002;0;0;51,2000000000002
51,3000000000002;0;0;51,3000000000002
51,4000000000002;0;0;51,4000000000002
51,5000000000002;0;0;51,5000000000002
51,6000000000002;0;0;51,6000000000002
51,7000000000002;0;0;51,7000000000002
51,8000000000002;0;0;51,8000000000002
51,9000000000002;0;0;51,9000000000002
52,0000000000002;0;0;52,0000000000002
52,1000000000002;0;0;52,1000000000002
52,2000000000002;0;0;52,2000000000002
52,3000000000002;0;0;52,3000000000002
52,4000000000002;0;0;52,4000000000002
52,5000000000002;0;0;52,5000000000002
52,6000000000002;0;0;52,6000000000002
52,7000000000002;0;0;52,7000000000002
52,8000000000002;0;0;52,8000000000002
52,9000000000002;0;0;52,9000000000002
53,0000000000002;0;0;53,0000000000002
53,1000000000002;0;0;53,1000000000002
53,2000000000002;0;0;53,2000000000002
53,3000000000002;0;0;53,3000000000002
53,4000000000002;0;0;53,4000000000002
53,5000000000002;0;0;53,5000000000002
53,6000000000002;0;0;53,6000000000002
53,7000000000002;0;0;53,7000000000002
53,8000000000002;0;0;53,8000000000002
53,9000000000002;0;0;53,9000000000002
54,0000000000002;0;0;54,0000000000002
54,1000000000002;0;0;54,1000000000002
54,2000000000002;0;0;54,2000000000002
54,3000000000002;0;0;54,3000000000002
54,4000000000002;0;0;54,4000000000002
54,5000000000002;0;0;54,5000000000002
54,6000000000002;0;0;54,6000000000002
54,7000000000002;0;0;54,7000000000002
54,8000000000002;0;0;54,8000000000002
54,9000000000002;0;0;54,9000000000002
55,0000000000002;0;0;55,0000000000002
55,1000000000002;0;0;55,1000000000002
55,2000000000002;0;0;55,2000000000002
55,3000000000002;0;0;55,3000000000002
55,4000000000002;0;0;55,4000000000002
55,5000000000002;0;0;55,5000000000002
55,6000000000002;0;0;55,6000000000002
55,7000000000002;0;0;55,7000000000002
