x;absoluteError;relativeError;result
95,7999999999988;1,4210854715202E-14;1,48338775732799E-16;95,7999999999988
95,8999999999988;2,8421709430404E-14;2,96368190098064E-16;95,8999999999988
95,9999999999988;4,2632564145606E-14;4,44089209850068E-16;95,9999999999988
96,0999999999988;4,2632564145606E-14;4,4362709828935E-16;96,0999999999988
96,1999999999988;4,2632564145606E-14;4,43165947459528E-16;96,1999999999988
96,2999999999988;0;0;96,2999999999988
96,3999999999988;2,8421709430404E-14;2,94831010688842E-16;96,3999999999988
96,4999999999988;1,4210854715202E-14;1,47262743162717E-16;96,4999999999988
96,5999999999988;2,8421709430404E-14;2,94220594517643E-16;96,5999999999988
96,6999999999988;2,8421709430404E-14;2,93916333303044E-16;96,6999999999988
96,7999999999988;5,6843418860808E-14;5,87225401454636E-16;96,7999999999987
96,8999999999988;1,4210854715202E-14;1,46654847422107E-16;96,8999999999988
96,9999999999988;1,4210854715202E-14;1,46503656857754E-16;96,9999999999988
97,0999999999988;4,2632564145606E-14;4,39058333116442E-16;97,0999999999988
97,1999999999988;1,4210854715202E-14;1,46202209004138E-16;97,1999999999988
97,2999999999987;0;0;97,2999999999987
97,3999999999987;1,4210854715202E-14;1,45901999129386E-16;97,3999999999988
97,4999999999987;4,2632564145606E-14;4,37257068160067E-16;97,4999999999988
97,5999999999987;1,4210854715202E-14;1,45603019622973E-16;97,5999999999987
97,6999999999987;1,4210854715202E-14;1,45453988896645E-16;97,6999999999987
97,7999999999987;1,4210854715202E-14;1,45305262936628E-16;97,7999999999987
97,8999999999987;2,8421709430404E-14;2,90313681618022E-16;97,8999999999987
97,9999999999987;2,8421709430404E-14;2,90017443167392E-16;97,9999999999987
98,0999999999987;1,4210854715202E-14;1,44860904334375E-16;98,0999999999987
98,1999999999987;5,6843418860808E-14;5,78853552554061E-16;98,1999999999986
98,2999999999987;2,8421709430404E-14;2,89132344154673E-16;98,2999999999987
98,3999999999987;4,2632564145606E-14;4,33257765707384E-16;98,3999999999986
98,4999999999987;0;0;98,4999999999987
98,5999999999987;2,8421709430404E-14;2,88252631140004E-16;98,5999999999986
98,6999999999987;1,4210854715202E-14;1,43980290934166E-16;98,6999999999987
98,7999999999987;4,2632564145606E-14;4,31503685684277E-16;98,7999999999987
98,8999999999987;4,2632564145606E-14;4,31067382665385E-16;98,8999999999987
98,9999999999987;0;0;98,9999999999987
99,0999999999986;4,2632564145606E-14;4,30197418220046E-16;99,0999999999987
99,1999999999986;4,2632564145606E-14;4,29763751467809E-16;99,1999999999986
99,2999999999986;4,2632564145606E-14;4,29330958163208E-16;99,2999999999987
99,3999999999986;4,2632564145606E-14;4,28899035670086E-16;99,3999999999987
99,4999999999986;2,8421709430404E-14;2,85645320908587E-16;99,4999999999987
99,5999999999986;2,8421709430404E-14;2,85358528417715E-16;99,5999999999986
99,6999999999986;2,8421709430404E-14;2,85072311237757E-16;99,6999999999986
99,7999999999986;2,8421709430404E-14;2,84786667639323E-16;99,7999999999986
99,8999999999986;0;0;99,8999999999986
