x;absoluteError;relativeError
0,49;0,251631855638792;0,201043025954599
0,5;0,259921049894873;0,2062994740159
0,51;0,268434288203715;0,211626483689476
0,52;0,277182387322588;0,217026471766227
0,53;0,286176925831348;0,222501990265741
0,54;0,29543031539143;0,228055737063836
0,55;0,304955880389621;0,233690567606447
0,56;0,314767947164648;0,239409507847722
0,57;0,324881944217442;0,245215768571243
0,58;0,335314515048663;0,251112761278149
0,59;0,34608364555871;0,257104115855344
0,6;0,357208808297453;0,263193700271923
0,61;0,368711126277415;0,26938564259372
0,62;0,380613559583463;0,275684355655826
0,63;0,392941118647326;0,282094564793168
0,64;0,405721108836249;0,288621339101988
0,65;0,418983411970384;0,295270126793511
0,66;0,432760811583181;0,302046795309111
0,67;0,447089370238734;0,308957676998882
0,68;0,462008869106433;0,316009621329321
0,69;0,477563322381624;0,323210054789299
0,7;0,493801582185722;0,33056704991783
0,71;0,510778053489524;0,338089405197377
0,72;0,528553543664399;0,345786737962282
0,73;0,547196277870926;0,353669592990435
0,74;0,566783120190969;0,361749570114009
0,75;0,587401051968199;0,370039475052563
0,76;0,609148974342716;0,378553498809228
0,77;0,632139923033617;0,387307432477158
0,78;0,65650381235981;0,396318926320231
0,79;0,682390865739974;0,405607804723687
0,8;0,709975946676697;0,415196452357427
0,81;0,739464085489495;0,425110292105517
0,82;0,771097615304352;0,435378382671383
0,83;0,805165505978112;0,446034174324554
0,84;0,842015749320194;0,457116476681019
0,85;0,882072057762057;0,468670715408695
0,86;0,925856785554179;0,48075058981489
0,87;0,974023033748572;0,493420298089912
0,88;1,02740066519113;0,506757585133906
0,89;1,08706402242323;0,520858014293722
0,9;1,15443469003188;0,535841116638722
0,91;1,23144316694057;0,551859525344284
0,92;1,32079441680639;0,569113061993623
0,93;1,42642750320259;0,587871470019144
0,94;1,55436477464518;0,608513235883113
0,95;1,71441761659491;0,631596850135961
0,96;1,92401773821287;0,658004810664661
0,97;2,21829794868543;0,689276749404614
0,98;2,68403149864039;0,728558238340509
0,99;3,64158883361278;0,784556530996812
